round,train_loss,train_accuracy,test_loss,test_accuracy,precision,recall,f1_score,confusion_matrix
1,1.652146222293377,0.3478,2.256236426830292,0.217,0.22144505381584167,0.21700000762939453,0.16185346245765686,"[[48, 1, 0, 125, 24, 1, 12, 78, 682, 29], [16, 0, 0, 350, 56, 0, 47, 60, 393, 78], [17, 0, 0, 348, 182, 2, 119, 129, 183, 20], [7, 1, 0, 500, 124, 2, 88, 119, 132, 27], [7, 0, 0, 330, 240, 0, 232, 78, 88, 25], [8, 0, 0, 441, 125, 4, 69, 115, 224, 14], [1, 0, 0, 390, 156, 0, 315, 96, 27, 15], [5, 0, 0, 330, 144, 0, 80, 228, 171, 42], [24, 1, 0, 167, 19, 0, 4, 30, 710, 45], [7, 2, 0, 185, 76, 0, 32, 134, 439, 125]]"
2,1.599293940782547,0.37512,2.187978358268738,0.234,0.2936648726463318,0.23399999737739563,0.18822799623012543,"[[126, 13, 7, 19, 52, 2, 17, 7, 740, 17], [34, 42, 26, 69, 98, 1, 47, 4, 631, 48], [60, 9, 53, 95, 374, 3, 107, 17, 250, 32], [38, 5, 57, 212, 273, 14, 110, 25, 224, 42], [24, 10, 21, 91, 451, 4, 213, 13, 140, 33], [26, 7, 64, 184, 249, 26, 80, 17, 326, 21], [15, 1, 32, 119, 328, 1, 399, 16, 67, 22], [25, 9, 58, 84, 310, 3, 56, 75, 296, 84], [36, 9, 8, 49, 30, 2, 6, 5, 832, 23], [21, 13, 44, 27, 104, 0, 33, 15, 619, 124]]"
3,1.5355156723260879,0.40484,2.1108162593841553,0.2612,0.2959461808204651,0.2612000107765198,0.22032149136066437,"[[251, 25, 21, 11, 31, 7, 45, 18, 568, 23], [36, 95, 39, 28, 46, 12, 121, 9, 557, 57], [89, 28, 103, 20, 144, 22, 411, 28, 127, 28], [30, 11, 108, 73, 93, 70, 409, 46, 131, 29], [30, 15, 49, 23, 141, 14, 593, 23, 84, 28], [30, 10, 98, 60, 104, 123, 337, 32, 188, 18], [13, 7, 49, 21, 73, 13, 768, 16, 21, 19], [29, 21, 85, 22, 182, 31, 261, 132, 163, 74], [52, 17, 17, 24, 16, 18, 34, 18, 766, 38], [24, 36, 57, 10, 38, 4, 124, 33, 514, 160]]"
4,1.4909664438962937,0.41334,2.0336778676509857,0.2967,0.30847102403640747,0.29670000076293945,0.2630949020385742,"[[483, 30, 14, 10, 27, 8, 38, 28, 308, 54], [80, 138, 10, 19, 24, 10, 106, 22, 474, 117], [145, 41, 75, 17, 175, 29, 359, 50, 61, 48], [61, 24, 69, 65, 103, 83, 365, 90, 73, 67], [54, 20, 30, 17, 186, 19, 537, 40, 46, 51], [64, 17, 64, 40, 132, 176, 299, 62, 102, 44], [18, 20, 29, 13, 88, 17, 733, 33, 13, 36], [63, 34, 45, 18, 194, 34, 192, 219, 92, 109], [181, 24, 10, 22, 13, 17, 25, 19, 623, 66], [72, 43, 26, 12, 31, 5, 93, 47, 402, 269]]"
5,1.4743274973630904,0.4228,1.9770253527164459,0.3226,0.328817218542099,0.32260000705718994,0.29376786947250366,"[[564, 36, 11, 8, 26, 10, 31, 50, 214, 50], [134, 189, 6, 14, 23, 9, 86, 34, 392, 113], [159, 50, 64, 10, 269, 42, 242, 93, 34, 37], [68, 34, 41, 66, 120, 96, 314, 137, 49, 75], [62, 24, 21, 17, 370, 26, 322, 89, 29, 40], [64, 23, 42, 35, 170, 218, 223, 117, 63, 45], [16, 26, 28, 12, 165, 25, 620, 64, 8, 36], [64, 37, 25, 18, 223, 40, 103, 317, 70, 103], [271, 38, 5, 17, 11, 15, 21, 28, 522, 72], [116, 59, 13, 10, 21, 5, 85, 65, 330, 296]]"
6,1.4287388365864753,0.44004,1.9218357169628144,0.3345,0.3490753173828125,0.3345000147819519,0.3037000298500061,"[[440, 42, 13, 4, 31, 16, 32, 66, 306, 50], [61, 218, 4, 9, 23, 11, 95, 42, 422, 115], [115, 33, 57, 5, 319, 44, 236, 107, 51, 33], [32, 23, 32, 35, 141, 117, 346, 162, 50, 62], [43, 18, 15, 14, 422, 26, 293, 96, 39, 34], [26, 14, 28, 19, 195, 223, 252, 145, 64, 34], [8, 15, 17, 8, 203, 22, 614, 74, 8, 31], [35, 19, 16, 8, 227, 55, 120, 379, 70, 71], [139, 39, 4, 10, 15, 23, 25, 28, 633, 84], [51, 60, 5, 12, 28, 5, 90, 74, 351, 324]]"
7,1.4125238580107689,0.45002,1.888330488204956,0.3406,0.35396456718444824,0.34060001373291016,0.3120651841163635,"[[418, 38, 19, 2, 34, 19, 24, 67, 334, 45], [57, 233, 4, 6, 24, 12, 68, 36, 448, 112], [106, 39, 84, 3, 349, 46, 185, 108, 56, 24], [32, 26, 44, 23, 175, 134, 298, 156, 51, 61], [41, 23, 34, 10, 496, 26, 215, 87, 40, 28], [21, 16, 45, 12, 228, 249, 198, 131, 67, 33], [9, 17, 29, 5, 286, 23, 525, 66, 10, 30], [36, 23, 19, 8, 252, 57, 90, 392, 70, 53], [124, 39, 9, 5, 13, 28, 21, 26, 663, 72], [52, 67, 9, 8, 25, 6, 80, 61, 369, 323]]"
8,1.373240511417389,0.46132,1.8414427483081817,0.3575,0.36524659395217896,0.35749998688697815,0.33170002698898315,"[[429, 42, 26, 2, 19, 19, 29, 65, 324, 45], [55, 271, 4, 6, 14, 10, 56, 32, 415, 137], [104, 45, 129, 3, 264, 48, 214, 109, 47, 37], [32, 31, 75, 25, 87, 136, 336, 165, 44, 69], [43, 24, 60, 8, 384, 27, 283, 102, 37, 32], [17, 19, 80, 14, 134, 273, 232, 144, 53, 34], [8, 23, 51, 7, 169, 19, 611, 69, 8, 35], [34, 28, 24, 6, 171, 60, 120, 429, 60, 68], [127, 44, 12, 4, 5, 35, 19, 23, 649, 82], [52, 74, 11, 7, 11, 4, 80, 47, 339, 375]]"
9,1.3553993486166,0.47044,1.7942746305465698,0.3656,0.37845003604888916,0.36559998989105225,0.34079092741012573,"[[387, 53, 30, 3, 22, 19, 30, 73, 331, 52], [44, 315, 2, 8, 13, 5, 56, 34, 353, 170], [88, 43, 110, 8, 292, 43, 217, 121, 45, 33], [25, 29, 55, 42, 113, 131, 333, 172, 35, 65], [40, 23, 43, 10, 410, 22, 276, 109, 36, 31], [16, 17, 57, 20, 158, 263, 231, 157, 44, 37], [5, 23, 31, 7, 184, 20, 615, 73, 5, 37], [27, 25, 12, 9, 172, 61, 119, 466, 44, 65], [117, 56, 11, 7, 7, 28, 20, 25, 617, 112], [38, 94, 8, 7, 12, 6, 82, 49, 273, 431]]"
10,1.3425377739071847,0.47698,1.758540735244751,0.3782,0.3895222246646881,0.3781999945640564,0.3540511727333069,"[[452, 50, 23, 3, 27, 18, 29, 70, 279, 49], [55, 329, 1, 8, 14, 6, 59, 36, 318, 174], [97, 37, 97, 19, 318, 40, 215, 117, 35, 25], [32, 23, 44, 60, 125, 127, 338, 168, 28, 55], [44, 16, 36, 12, 455, 21, 253, 103, 34, 26], [26, 11, 45, 36, 171, 266, 225, 160, 33, 27], [6, 18, 24, 6, 193, 20, 622, 76, 5, 30], [32, 19, 11, 18, 180, 63, 113, 480, 35, 49], [145, 54, 7, 10, 13, 24, 19, 27, 596, 105], [48, 95, 6, 10, 17, 7, 84, 55, 253, 425]]"
11,1.310325650691986,0.48862,1.7173394107818603,0.3941,0.39558395743370056,0.39410001039505005,0.37747493386268616,"[[409, 63, 28, 7, 20, 17, 26, 63, 306, 61], [43, 388, 3, 8, 11, 4, 43, 30, 267, 203], [90, 42, 142, 32, 288, 56, 162, 118, 38, 32], [28, 29, 62, 108, 106, 159, 249, 163, 29, 67], [41, 19, 67, 26, 434, 26, 201, 119, 35, 32], [22, 14, 71, 73, 133, 321, 148, 152, 32, 34], [5, 22, 44, 11, 200, 24, 571, 75, 6, 42], [31, 21, 22, 32, 143, 80, 78, 497, 34, 62], [121, 67, 13, 9, 4, 25, 17, 24, 602, 118], [38, 121, 5, 17, 11, 5, 67, 45, 222, 469]]"
12,1.2976634019613267,0.49536,1.6879209911823272,0.4058,0.40581685304641724,0.4057999849319458,0.38788098096847534,"[[457, 71, 25, 6, 21, 16, 26, 55, 271, 52], [53, 456, 2, 6, 8, 3, 42, 27, 227, 176], [97, 42, 152, 24, 273, 61, 170, 118, 33, 30], [37, 28, 68, 93, 97, 162, 267, 157, 24, 67], [44, 22, 66, 24, 437, 23, 201, 120, 35, 28], [26, 15, 67, 54, 124, 327, 161, 165, 30, 31], [6, 22, 44, 8, 195, 22, 586, 68, 6, 43], [36, 23, 19, 24, 139, 84, 81, 510, 28, 56], [136, 86, 13, 9, 4, 22, 16, 22, 587, 105], [42, 149, 5, 12, 9, 6, 64, 41, 219, 453]]"
13,1.307038190484047,0.49054,1.6905639100074767,0.4038,0.4101561903953552,0.40379998087882996,0.388509064912796,"[[494, 43, 36, 13, 32, 19, 26, 54, 252, 31], [68, 384, 7, 10, 13, 8, 58, 26, 297, 129], [100, 26, 173, 23, 302, 72, 159, 93, 31, 21], [33, 18, 83, 96, 112, 179, 282, 131, 27, 39], [41, 11, 84, 19, 475, 26, 197, 96, 33, 18], [22, 10, 91, 51, 140, 349, 165, 125, 31, 16], [5, 13, 53, 8, 222, 24, 584, 53, 6, 32], [35, 13, 30, 24, 164, 97, 81, 488, 31, 37], [159, 58, 19, 10, 7, 24, 21, 22, 612, 68], [59, 118, 9, 22, 13, 9, 81, 50, 256, 383]]"
14,1.274613283663988,0.50646,1.6511123895645141,0.4174,0.41821300983428955,0.4174000024795532,0.4058103859424591,"[[457, 52, 44, 14, 28, 19, 27, 57, 253, 49], [52, 448, 7, 11, 9, 9, 51, 29, 217, 167], [85, 31, 198, 40, 278, 69, 153, 91, 31, 24], [26, 21, 97, 129, 97, 173, 266, 126, 18, 47], [38, 12, 101, 26, 450, 21, 192, 109, 33, 18], [14, 10, 103, 71, 111, 356, 156, 135, 27, 17], [4, 15, 54, 18, 203, 22, 595, 52, 5, 32], [27, 15, 38, 39, 142, 93, 74, 507, 22, 43], [137, 70, 21, 14, 5, 21, 20, 26, 593, 93], [48, 131, 10, 25, 11, 8, 74, 48, 204, 441]]"
15,1.2615181767642498,0.51306,1.6151176035404204,0.4338,0.4285423457622528,0.43379998207092285,0.4194878339767456,"[[446, 58, 36, 16, 22, 22, 23, 44, 269, 64], [42, 502, 4, 10, 7, 9, 40, 22, 194, 170], [90, 36, 163, 46, 255, 86, 166, 97, 32, 29], [27, 25, 74, 153, 73, 199, 237, 127, 16, 69], [37, 17, 70, 37, 420, 36, 196, 126, 39, 22], [15, 13, 64, 85, 95, 402, 136, 140, 29, 21], [5, 16, 38, 21, 166, 25, 631, 52, 6, 40], [31, 18, 23, 44, 104, 109, 66, 527, 21, 57], [123, 76, 14, 13, 5, 20, 18, 19, 614, 98], [37, 154, 4, 23, 7, 8, 62, 28, 197, 480]]"
16,1.2402072755098343,0.51328,1.5953347337245942,0.4385,0.4365079998970032,0.43849998712539673,0.42702239751815796,"[[443, 49, 49, 19, 19, 19, 26, 38, 279, 59], [45, 467, 6, 12, 7, 8, 41, 23, 212, 179], [82, 33, 198, 51, 234, 81, 173, 87, 33, 28], [26, 22, 87, 183, 56, 196, 247, 107, 17, 59], [37, 16, 92, 40, 400, 35, 208, 112, 39, 21], [15, 10, 85, 92, 77, 405, 141, 129, 29, 17], [5, 14, 46, 27, 138, 25, 660, 45, 6, 34], [32, 16, 31, 50, 96, 102, 72, 525, 22, 54], [116, 67, 20, 14, 4, 18, 18, 21, 631, 91], [39, 135, 5, 26, 8, 8, 64, 33, 209, 473]]"
17,1.231592384338379,0.51944,1.5788324308395385,0.4431,0.4383999705314636,0.4431000351905823,0.43013912439346313,"[[474, 46, 49, 14, 19, 20, 26, 48, 248, 56], [55, 474, 5, 15, 7, 8, 41, 27, 191, 177], [86, 29, 192, 44, 241, 89, 162, 102, 31, 24], [27, 22, 75, 161, 60, 231, 233, 122, 17, 52], [40, 14, 84, 37, 417, 40, 190, 125, 35, 18], [16, 9, 75, 80, 82, 420, 130, 145, 25, 18], [5, 12, 40, 26, 148, 29, 653, 49, 6, 32], [31, 9, 29, 45, 95, 106, 61, 556, 20, 48], [144, 67, 21, 11, 5, 17, 18, 23, 611, 83], [46, 136, 7, 27, 9, 10, 63, 39, 190, 473]]"
18,1.2099035867750645,0.5303,1.548238775730133,0.4497,0.4435025453567505,0.4496999979019165,0.43522799015045166,"[[488, 51, 42, 11, 22, 18, 20, 58, 218, 72], [53, 507, 6, 13, 8, 7, 35, 27, 138, 206], [89, 28, 186, 36, 237, 101, 144, 122, 24, 33], [30, 22, 67, 144, 59, 244, 206, 150, 15, 63], [43, 17, 91, 28, 408, 46, 172, 145, 29, 21], [16, 8, 78, 71, 67, 436, 108, 170, 24, 22], [6, 12, 42, 21, 165, 34, 618, 57, 5, 40], [28, 9, 27, 30, 87, 102, 50, 593, 17, 57], [157, 77, 17, 7, 5, 17, 15, 24, 569, 112], [42, 133, 4, 18, 8, 10, 54, 46, 137, 548]]"
19,1.1957148015797139,0.53586,1.5347939443588257,0.4552,0.44926637411117554,0.4552000164985657,0.4409528374671936,"[[498, 46, 43, 13, 24, 9, 20, 45, 239, 63], [57, 530, 5, 10, 7, 4, 27, 24, 162, 174], [95, 31, 199, 40, 239, 76, 154, 108, 32, 26], [37, 24, 73, 163, 59, 207, 220, 132, 17, 68], [47, 20, 85, 33, 417, 34, 179, 135, 31, 19], [22, 12, 77, 79, 72, 392, 123, 175, 26, 22], [6, 16, 40, 26, 149, 24, 650, 45, 6, 38], [35, 14, 27, 34, 88, 86, 57, 581, 18, 60], [151, 75, 13, 6, 7, 16, 15, 17, 616, 84], [45, 149, 5, 14, 8, 6, 48, 41, 178, 506]]"
20,1.194473115861416,0.53578,1.5207496988773346,0.4614,0.4560295641422272,0.46140000224113464,0.4471197724342346,"[[485, 50, 47, 13, 23, 7, 23, 47, 232, 73], [41, 587, 5, 11, 7, 1, 28, 24, 122, 174], [89, 37, 216, 46, 223, 63, 161, 112, 26, 27], [32, 24, 82, 173, 57, 166, 235, 147, 16, 68], [45, 21, 96, 31, 397, 25, 196, 143, 28, 18], [17, 12, 89, 92, 63, 352, 133, 197, 25, 20], [5, 17, 39, 28, 130, 17, 674, 47, 5, 38], [27, 18, 35, 30, 79, 68, 60, 607, 17, 59], [135, 88, 15, 7, 6, 14, 16, 18, 600, 101], [41, 172, 4, 13, 7, 6, 50, 42, 142, 523]]"
21,1.1958791982233525,0.53876,1.5094432067871093,0.4633,0.4590550363063812,0.4632999897003174,0.44820451736450195,"[[495, 46, 47, 13, 29, 8, 21, 46, 230, 65], [50, 566, 8, 9, 7, 3, 32, 24, 129, 172], [92, 30, 214, 32, 253, 65, 149, 111, 28, 26], [34, 20, 80, 148, 78, 179, 236, 148, 16, 61], [45, 20, 84, 27, 439, 24, 176, 141, 29, 15], [18, 11, 82, 76, 76, 368, 131, 196, 24, 18], [6, 14, 37, 23, 150, 22, 664, 47, 6, 31], [30, 13, 36, 23, 89, 71, 55, 613, 16, 54], [135, 82, 15, 8, 7, 14, 17, 21, 612, 89], [44, 154, 7, 12, 7, 8, 58, 52, 144, 514]]"
22,1.1731096880435943,0.54228,1.493406319618225,0.4706,0.46499866247177124,0.4706000089645386,0.45839568972587585,"[[499, 45, 48, 16, 30, 9, 22, 43, 223, 65], [47, 571, 7, 14, 8, 6, 32, 24, 116, 175], [87, 30, 215, 49, 247, 70, 145, 106, 27, 24], [34, 20, 73, 195, 75, 191, 215, 127, 14, 56], [44, 19, 86, 38, 432, 29, 177, 134, 29, 12], [18, 11, 81, 93, 76, 387, 120, 177, 22, 15], [7, 13, 34, 32, 146, 26, 666, 43, 6, 27], [26, 10, 34, 36, 85, 77, 53, 614, 16, 49], [136, 83, 16, 10, 9, 13, 16, 23, 601, 93], [43, 149, 8, 20, 7, 8, 60, 48, 131, 526]]"
23,1.170573962777853,0.54856,1.4802182972431184,0.4787,0.47405245900154114,0.4786999821662903,0.46976375579833984,"[[493, 42, 55, 15, 28, 9, 21, 41, 233, 63], [47, 571, 10, 16, 7, 5, 30, 23, 112, 179], [85, 29, 277, 52, 208, 65, 137, 94, 29, 24], [33, 19, 100, 225, 57, 185, 207, 104, 13, 57], [43, 19, 122, 42, 413, 28, 167, 124, 29, 13], [18, 10, 111, 109, 56, 389, 114, 153, 22, 18], [7, 13, 52, 36, 134, 23, 662, 39, 6, 28], [26, 10, 42, 37, 81, 87, 53, 604, 15, 45], [124, 77, 17, 10, 8, 13, 15, 23, 621, 92], [42, 148, 12, 22, 6, 8, 55, 47, 128, 532]]"
24,1.1629992292821407,0.55148,1.475711508989334,0.4777,0.475363552570343,0.47769999504089355,0.4662153124809265,"[[509, 41, 58, 11, 29, 10, 20, 47, 208, 67], [47, 569, 11, 11, 7, 6, 31, 29, 100, 189], [78, 28, 267, 32, 241, 69, 126, 111, 22, 26], [30, 19, 93, 169, 83, 191, 205, 146, 11, 53], [42, 17, 105, 28, 445, 28, 152, 142, 26, 15], [18, 10, 102, 77, 69, 387, 110, 192, 18, 17], [6, 13, 46, 28, 166, 24, 641, 44, 6, 26], [25, 8, 38, 21, 86, 81, 48, 635, 14, 44], [133, 73, 19, 10, 11, 14, 14, 24, 600, 102], [43, 137, 11, 14, 7, 8, 55, 53, 117, 555]]"
25,1.152694340467453,0.54934,1.4620127141475678,0.4816,0.4790145754814148,0.4816000163555145,0.4720805585384369,"[[513, 34, 61, 14, 29, 9, 18, 47, 210, 65], [52, 542, 11, 16, 8, 4, 28, 32, 106, 201], [78, 24, 287, 37, 217, 76, 114, 118, 21, 28], [30, 18, 94, 201, 64, 196, 182, 153, 10, 52], [46, 16, 119, 34, 427, 31, 134, 153, 24, 16], [19, 9, 101, 96, 67, 387, 92, 194, 18, 17], [6, 13, 50, 37, 158, 25, 630, 49, 6, 26], [25, 6, 40, 28, 69, 77, 42, 659, 14, 40], [131, 69, 19, 14, 13, 13, 10, 26, 607, 98], [43, 125, 11, 15, 7, 9, 53, 58, 116, 563]]"
26,1.144332566291094,0.55336,1.450833569765091,0.4846,0.48125627636909485,0.4846000075340271,0.47523802518844604,"[[498, 33, 58, 16, 28, 8, 17, 39, 246, 57], [57, 554, 11, 16, 9, 4, 24, 25, 129, 171], [81, 27, 269, 40, 239, 73, 118, 99, 29, 25], [33, 19, 89, 218, 86, 180, 191, 118, 13, 53], [47, 16, 110, 36, 456, 31, 134, 128, 30, 12], [19, 10, 97, 102, 76, 400, 101, 160, 18, 17], [8, 13, 47, 38, 167, 24, 635, 36, 8, 24], [27, 6, 41, 32, 88, 77, 44, 627, 15, 43], [118, 61, 20, 10, 11, 13, 11, 18, 666, 72], [46, 140, 11, 19, 7, 8, 53, 47, 146, 523]]"
27,1.1364916512072087,0.5598,1.441045194864273,0.4885,0.48458003997802734,0.4884999990463257,0.478973388671875,"[[558, 33, 58, 14, 26, 8, 17, 37, 190, 59], [62, 576, 11, 14, 9, 3, 24, 25, 112, 164], [89, 27, 288, 35, 225, 72, 117, 101, 21, 25], [35, 20, 102, 208, 78, 177, 191, 122, 11, 56], [55, 16, 121, 32, 444, 28, 139, 129, 24, 12], [21, 11, 108, 92, 68, 390, 97, 181, 17, 15], [10, 14, 54, 36, 153, 22, 640, 39, 7, 25], [29, 7, 44, 27, 83, 74, 42, 635, 14, 45], [159, 67, 19, 11, 9, 13, 10, 17, 624, 71], [57, 153, 12, 14, 7, 9, 52, 49, 125, 522]]"
28,1.1195727321207523,0.56486,1.4289837884902954,0.4942,0.49057862162590027,0.4941999912261963,0.48433685302734375,"[[526, 35, 60, 15, 27, 7, 17, 40, 218, 55], [53, 590, 11, 15, 9, 3, 23, 26, 117, 153], [80, 27, 304, 35, 228, 68, 111, 100, 22, 25], [34, 18, 103, 202, 85, 180, 186, 127, 12, 53], [54, 15, 120, 30, 459, 30, 128, 129, 26, 9], [18, 11, 106, 93, 75, 389, 94, 181, 19, 14], [9, 14, 56, 32, 159, 22, 639, 38, 8, 23], [27, 6, 46, 26, 82, 73, 37, 650, 15, 38], [128, 61, 20, 10, 9, 13, 12, 17, 662, 68], [49, 157, 14, 14, 8, 8, 51, 48, 130, 521]]"
29,1.123438551813364,0.56662,1.415711555480957,0.503,0.49688956141471863,0.5029999613761902,0.49426811933517456,"[[523, 38, 67, 16, 26, 10, 17, 35, 208, 60], [44, 634, 10, 14, 8, 8, 19, 24, 94, 145], [71, 29, 337, 40, 191, 87, 105, 95, 22, 23], [31, 20, 99, 210, 65, 232, 169, 112, 10, 52], [51, 19, 128, 32, 424, 49, 127, 136, 25, 9], [16, 12, 99, 90, 65, 457, 81, 151, 16, 13], [9, 16, 63, 38, 138, 30, 641, 35, 7, 23], [23, 7, 50, 29, 72, 94, 34, 639, 15, 37], [127, 71, 22, 11, 9, 14, 9, 19, 646, 72], [49, 172, 15, 19, 7, 10, 48, 43, 118, 519]]"
30,1.1248723380565644,0.56656,1.404825040102005,0.5062,0.4992450773715973,0.5061999559402466,0.4982541799545288,"[[519, 38, 71, 18, 26, 12, 17, 33, 206, 60], [45, 630, 12, 15, 9, 9, 19, 18, 89, 154], [71, 28, 325, 49, 195, 96, 110, 83, 21, 22], [29, 18, 87, 229, 65, 244, 164, 101, 11, 52], [48, 16, 126, 40, 416, 52, 133, 133, 25, 11], [15, 11, 96, 99, 62, 481, 82, 123, 16, 15], [9, 16, 61, 43, 125, 32, 658, 28, 7, 21], [23, 6, 43, 36, 67, 107, 35, 628, 15, 40], [127, 68, 21, 12, 10, 14, 9, 19, 645, 75], [49, 166, 15, 21, 6, 10, 49, 42, 111, 531]]"
31,1.1076018726825714,0.5707,1.3927959489822388,0.5071,0.5000187158584595,0.507099986076355,0.4985557198524475,"[[520, 36, 66, 16, 27, 10, 17, 31, 219, 58], [42, 633, 10, 15, 9, 7, 17, 17, 95, 155], [75, 29, 326, 46, 194, 82, 112, 90, 23, 23], [32, 19, 89, 231, 70, 213, 170, 107, 13, 56], [49, 19, 124, 37, 418, 46, 138, 132, 26, 11], [17, 13, 95, 102, 63, 457, 85, 138, 16, 14], [8, 18, 58, 42, 122, 28, 661, 30, 10, 23], [23, 7, 47, 36, 70, 93, 37, 628, 15, 44], [121, 66, 20, 12, 9, 13, 9, 17, 664, 69], [46, 172, 14, 19, 6, 9, 46, 37, 118, 533]]"
32,1.095860339552164,0.57402,1.3888315975666046,0.5062,0.5005614161491394,0.5062000155448914,0.4963275194168091,"[[552, 33, 60, 14, 29, 7, 17, 34, 199, 55], [58, 608, 10, 12, 9, 2, 16, 22, 101, 162], [90, 24, 294, 39, 227, 73, 106, 101, 22, 24], [38, 18, 85, 222, 81, 196, 166, 125, 15, 54], [59, 17, 100, 33, 445, 38, 135, 138, 25, 10], [24, 11, 95, 95, 76, 423, 85, 161, 16, 14], [10, 16, 54, 38, 137, 23, 655, 32, 9, 26], [24, 7, 41, 28, 77, 73, 33, 658, 15, 44], [129, 58, 20, 11, 11, 10, 7, 19, 667, 68], [57, 165, 13, 10, 8, 8, 42, 46, 113, 538]]"
33,1.1045735651552677,0.57046,1.383440581560135,0.5104,0.5055702328681946,0.5104000568389893,0.5011413097381592,"[[530, 31, 62, 14, 29, 8, 15, 32, 221, 58], [55, 584, 9, 7, 9, 5, 13, 18, 111, 189], [88, 23, 332, 32, 205, 78, 93, 95, 23, 31], [38, 17, 94, 215, 74, 212, 153, 125, 15, 57], [55, 15, 122, 34, 434, 42, 117, 141, 25, 15], [20, 9, 99, 89, 69, 448, 78, 154, 16, 18], [9, 20, 63, 40, 140, 28, 633, 32, 10, 25], [23, 7, 46, 28, 72, 80, 30, 653, 16, 45], [113, 56, 18, 8, 7, 13, 6, 19, 688, 72], [46, 147, 15, 9, 6, 8, 35, 37, 110, 587]]"
34,1.0946113419830799,0.57626,1.3688950645923614,0.5176,0.5113965272903442,0.5176000595092773,0.5088628530502319,"[[538, 35, 63, 14, 25, 10, 19, 30, 199, 67], [42, 617, 9, 13, 9, 4, 17, 19, 90, 180], [79, 25, 341, 41, 186, 79, 110, 86, 21, 32], [34, 19, 89, 229, 71, 215, 172, 107, 12, 52], [49, 18, 126, 34, 420, 43, 137, 136, 24, 13], [17, 10, 100, 99, 63, 453, 84, 141, 13, 20], [9, 17, 64, 41, 109, 25, 675, 28, 7, 25], [21, 7, 47, 30, 70, 86, 35, 646, 15, 43], [115, 58, 21, 9, 11, 13, 9, 16, 659, 89], [44, 147, 13, 16, 6, 8, 41, 41, 86, 598]]"
35,1.0861763463318348,0.57886,1.3686950123310089,0.5187,0.5139276385307312,0.5187000036239624,0.5097407698631287,"[[535, 35, 64, 11, 28, 7, 18, 32, 212, 58], [44, 634, 11, 11, 9, 4, 14, 19, 99, 155], [82, 24, 360, 34, 196, 72, 94, 86, 24, 28], [33, 19, 109, 220, 78, 201, 164, 108, 14, 54], [53, 16, 133, 29, 433, 41, 123, 137, 25, 10], [17, 14, 108, 90, 72, 439, 78, 152, 13, 17], [9, 20, 68, 34, 125, 24, 663, 28, 8, 21], [24, 8, 51, 25, 72, 81, 33, 647, 16, 43], [111, 57, 21, 9, 9, 11, 7, 18, 686, 71], [46, 164, 15, 11, 6, 8, 36, 42, 102, 570]]"
36,1.071749335318804,0.5857,1.3530287420749665,0.5234,0.5165870189666748,0.5233999490737915,0.5141140222549438,"[[517, 39, 63, 13, 25, 10, 18, 29, 222, 64], [33, 655, 9, 10, 8, 4, 9, 16, 91, 165], [77, 26, 354, 42, 183, 79, 100, 83, 25, 31], [33, 20, 101, 231, 69, 212, 160, 104, 14, 56], [49, 18, 130, 36, 416, 47, 129, 135, 25, 15], [13, 15, 102, 97, 65, 451, 80, 146, 14, 17], [8, 22, 66, 35, 114, 25, 671, 27, 9, 23], [22, 10, 48, 31, 69, 82, 32, 647, 15, 44], [89, 63, 22, 9, 9, 12, 7, 15, 695, 79], [36, 167, 13, 12, 5, 8, 34, 34, 94, 597]]"
37,1.061105186700821,0.58698,1.344263721704483,0.5276,0.5210978388786316,0.5276000499725342,0.519420862197876,"[[545, 37, 62, 10, 25, 9, 18, 24, 215, 55], [44, 643, 11, 11, 8, 3, 9, 12, 101, 158], [88, 26, 351, 44, 198, 78, 94, 67, 27, 27], [36, 21, 98, 244, 79, 208, 162, 81, 15, 56], [52, 18, 134, 36, 436, 43, 120, 121, 30, 10], [16, 13, 107, 102, 77, 465, 77, 111, 16, 16], [9, 22, 67, 34, 123, 23, 665, 27, 8, 22], [24, 8, 50, 33, 77, 82, 31, 636, 17, 42], [103, 57, 18, 10, 8, 11, 6, 13, 713, 61], [46, 167, 13, 12, 5, 9, 33, 32, 105, 578]]"
38,1.067594020396471,0.58732,1.334681510925293,0.5309,0.5246210694313049,0.5309000015258789,0.5230309963226318,"[[563, 40, 62, 11, 23, 7, 19, 25, 198, 52], [46, 651, 12, 11, 8, 3, 11, 14, 89, 155], [93, 24, 383, 39, 177, 72, 90, 71, 26, 25], [37, 20, 107, 249, 71, 193, 164, 90, 15, 54], [54, 19, 149, 35, 424, 42, 118, 125, 25, 9], [22, 13, 109, 107, 68, 448, 75, 127, 14, 17], [9, 21, 71, 33, 118, 23, 669, 27, 8, 21], [26, 9, 52, 34, 71, 80, 31, 640, 14, 43], [107, 59, 21, 10, 9, 10, 7, 15, 701, 61], [49, 171, 14, 13, 4, 7, 33, 35, 93, 581]]"
